,Data,Link,Nome,Post
0,14/01/2018,https://www.facebook.com/1890887890953766,Omega Nerd,"Nanana banana, nanananana banana🎙️🎶🎶🙈🙉🙊
#ChoqueDeCultura"
1,04/01/2018,https://www.facebook.com/477801329288533,Frases Choque de Cultura,Palavras duras. #ChoqueDeCultura
2,Sem Data,https://www.facebook.com/1689212814477053,Gabriela Ferreira Sardá,#choquedecultura
3,11/01/2018,https://www.facebook.com/2063641950537092,Rustenico adicionou 5 novas fotos.,Os maiores nomes do transporte alternativo do país! #choquedecultura
4,11/01/2018,https://www.facebook.com/2063641950537092,Rustenico adicionou 5 novas fotos.,Os maiores nomes do transporte alternativo do país! #choquedecultura
5,Sem Data,https://www.facebook.com/1689212814477053,Gabriela Ferreira Sardá,#choquedecultura
6,08/08/2016,https://www.facebook.com/835896326545889,O Jeitinho Carioca,#ChoqueDeCultura
7,Sem Data,https://www.facebook.com/1997854066897221,Thiago Azevedo,O Primeiro brasileiro a fazer sucesso no exterior foi o Blanka. #ChoqueDeCultura
8,Sem Data,https://www.facebook.com/1696466087070183,Hugo Carlos,Essa roupa natalina é impagável. Melhor críticos de cinema do transporte alternativo. #choquedecultura #feliznatal
9,16/05/2017,https://www.facebook.com/1894989950739904,Estevam Gomes,#ChoqueDeCultura #TVQuase #ilustração #illustration #ink #indianink #nanquim
10,Sem Data,https://www.facebook.com/10210836452441886,Caio Oliveira,Desenho que fiz pra promoção do #choquedecultura. É Cães de Aluguel a referência. :3
11,16/05/2017,https://www.facebook.com/1467993786577681,Quase.,"Bruno de Luca no slackline tá avisando que começou o concurso artístico do #ChoquedeCultura
Não tá ligado? Assiste o novo Choque então, otário! https://goo.gl/Kkd5zR
Arte do piloto @luccaix"
12,Sem Data,https://www.facebook.com/1997853420230619,Thiago Azevedo,"O Luciano Huck é bacana, ele humilha, humilha, humilha o pobre, depois ele ajuda. Gente boa esse rapaz. #ChoqueDeCultura"
13,15/01/2018,https://www.facebook.com/1943265222579745,Metafictions,"O Garimpo da semana é muito especial. Aproveitando o embalo das outras listas/tops lançados nesse início de ano, hoje apresentamos 10 filmes que passaram despercebidos em 2017 pelo grande público, incluindo um referência ao sensacional Choque de Cultura. Confira! #metafictions #cinema #top10 #lista #garimpo #choquedecultura"
14,16/05/2017,https://www.facebook.com/1467997353243991,Quase.,"Você que tá assistindo #choquedecultura escondido no trabalho, DÁ PRA ASSISTIR SIM! https://goo.gl/Kkd5zR
Participe do nosso concurso artístico!
Arte do piloto @Ognergonzales"
15,15/10/2014,https://www.facebook.com/285820584940909,Nadia Schwab,"Já estou na Arábia Saudita há 4 anos e continuo a me surpreender com o choque de cultura! Hoje precisei ir ao Banco fora do condimínio, triste por não poder dirigir, e não basta ter que usar esse look da abaya, quando chego no Banco, está cheio de homens, foi realmente constrangedor ser os centro das atenções, pelo fato de ser a única mulher no Banco, rs .. #vivendonaArabiaSaudita #semprecomsurpresas #choquedecultura #blognadiaschwab #saudiarabia #middleeast"
16,Sem Data,https://www.facebook.com/10211114131431136,Ana Carolina Rajão,Maurílio! <3 #choquedecultura
17,11/12/2017,https://www.facebook.com/1139876922816240,Morando Fora,
18,24/05/2017,https://www.facebook.com/708614829310547,"‎Pedro Alencar‎
 para
 CANTO NERD - RR",Sonho realizado! Encontro com os grandes @caitomainier e @craquedaniel. Ainda mais ídolos. #choquedecultura #tvquase #falhadecobertura #Brasil #SaoPaulo #Vacations #Ferias #Sampa
19,04/05/2017,https://www.facebook.com/1866192936976299,365 Pitacos,"#ChoqueDeCultura
Real - O Plano por Trás da História
kkkkkkkkkkkkkkkkk"
